data,1-5,comentario
02/03/2026,5,"Pra mim, melhor achocolatado do Brasil, disparado. Cremosidade sem igual. Vale muito a pena."
03/03/2026,2,"Na minha opiniao, nescau protein promete muito mas parece contar a proteina do leite, propaganda enganosa."
03/03/2026,3,"Na minha opiniao, mediano, gostei do sabor mas nao achei nada demais no lancamento. No mais, e isso."
04/03/2026,5,"Na minha opiniao, achocolatado nota 10, meus filhos amam e eu tambem."
04/03/2026,4,"Gente, gosto muito do Nescau, so acho que poderia ser um pouco menos doce. Fica a dica."
04/03/2026,1,"Olha, terrivel, o cereal estava sem sabor e mole, dinheiro jogado fora."
05/03/2026,5,"Gente, nescau sempre inovando, esse lancamento ficou sensacional. Recomendo demais."
05/03/2026,5,"Verdade seja dita, comprei o Nescau Protein e superou minhas expectativas, recomendo muito. Vale muito a pena."
06/03/2026,4,"Na minha opiniao, muito saboroso, meus filhos amam, so o preco que subiu bastante. So elogios."
07/03/2026,1,"Sinceramente, acabaram com o produto nas modificacoes, o sabor intenso simplesmente sumiu. Decepcionante."
08/03/2026,4,"Gente, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. Vale muito a pena."
08/03/2026,3,"Nem otimo nem ruim, e um achocolatado padrao, sem surpresas. Da pra melhorar."
09/03/2026,3,"Sinceramente, e bom, mas achei bem doce, acucar demais pro meu gosto."
09/03/2026,5,"Melhor achocolatado que existe, Nescau nao tem igual! So elogios."
09/03/2026,4,"Olha, bom demais com leite gelado, so acho o preco um pouco salgado ultimamente. Recomendo demais."
09/03/2026,2,"Confesso que prefiro o Toddynho, o Nescau perdeu o sabor que eu gostava. Nao compro mais."
10/03/2026,2,"Vem cada vez menos produto na embalagem pelo mesmo preco, decepcionante. Decepcionante."
10/03/2026,5,"Nescau sempre inovando, esse lancamento ficou sensacional. Recomendo demais."
11/03/2026,1,"Gente, acabaram com o produto nas modificacoes, o sabor intenso simplesmente sumiu."
11/03/2026,4,"Confesso que sabor muito bom, o Nescau Protein cumpre o que promete, so o preco que pesa."
12/03/2026,5,"Pra mim, nao troco por nenhum outro, Nescau e energia pura no meu dia. Recomendo demais."
12/03/2026,5,"Sinceramente, melhor achocolatado que existe, Nescau nao tem igual!"
12/03/2026,5,"Olha, produto excelente, qualidade Nestle de sempre, recomendo de olhos fechados. Recomendo demais."
13/03/2026,5,"Na minha opiniao, sabor de infancia que continua o mesmo, parabens Nescau! Vale muito a pena."
13/03/2026,3,"Verdade seja dita, gosto de tomar, mas ultimamente so sinto gosto de acucar."
13/03/2026,5,"Sinceramente, produto excelente, qualidade Nestle de sempre, recomendo de olhos fechados. Recomendo!"
14/03/2026,2,"Verdade seja dita, nao encontrei o mesmo sabor de antes, ficou aguado e sem graca. Nao recomendo."
14/03/2026,5,"O cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo. Vale muito a pena."
14/03/2026,4,"Olha, bom demais com leite gelado, so acho o preco um pouco salgado ultimamente. So elogios."
14/03/2026,2,"O cereal nao tem o gosto que anunciam, fiquei frustrado. Precisa melhorar."
15/03/2026,5,"Olha, produto excelente, qualidade Nestle de sempre, recomendo de olhos fechados."
15/03/2026,3,"Na minha opiniao, nem otimo nem ruim, e um achocolatado padrao, sem surpresas. So um feedback."
15/03/2026,4,"Gente, muito bom, uso todo dia, so reduziria um pouquinho o acucar. So elogios."
16/03/2026,4,"Gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho."
16/03/2026,4,"Olha, o sabor continua otimo, so senti que mudou um pouco na nova formula. Fica a dica."
16/03/2026,4,"Nescau Protein bom para o pos treino, sabor agrada, textura poderia ser melhor."
16/03/2026,5,"Confesso que sabor de infancia que continua o mesmo, parabens Nescau! So elogios."
16/03/2026,2,"Pra mim, o sabor intenso sumiu depois das mudancas, decepcionante. Fica o alerta."
16/03/2026,5,"Olha, comprei desconfiada e me apaixonei, o cereal e simplesmente perfeito. Vale muito a pena."
17/03/2026,5,"Olha, nescau sempre inovando, esse lancamento ficou sensacional."
17/03/2026,1,"Pra mim, terrivel, o cereal estava sem sabor e mole, dinheiro jogado fora. Fica o alerta."
17/03/2026,1,"Sabor artificial e docissimo, nao consigo tomar, decepcao total."
17/03/2026,2,"Preco alto e quantidade pequena, nao compensa mais comprar."
17/03/2026,5,"Verdade seja dita, nescau Protein com 15g de proteina virou meu pos treino favorito. So elogios."
17/03/2026,2,"Verdade seja dita, o cereal nao tem o gosto que anunciam, fiquei frustrado."
18/03/2026,4,"Gosto do cereal, crocante e saboroso, mas some rapido da prateleira. Vale muito a pena."
18/03/2026,2,"Comprei o liquido e o gosto estava estranho, quase de ferro. Nao recomendo."
18/03/2026,5,"Verdade seja dita, o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo. Fica a dica."
19/03/2026,5,"Verdade seja dita, viciei no Nescau Protein, sabor otimo e ainda ajuda na dieta."
19/03/2026,5,"Olha, melhor achocolatado do Brasil, disparado. Cremosidade sem igual. Vale muito a pena."
19/03/2026,5,"Sinceramente, nescau na medida certa de doce, diferente da concorrencia que enjoa. Vale muito a pena."
19/03/2026,4,"Sinceramente, bom demais com leite gelado, so acho o preco um pouco salgado ultimamente."
19/03/2026,4,"Olha, otimo achocolatado, o cereal e bom mas queria mais quantidade na caixa. So elogios."
19/03/2026,2,"Na minha opiniao, muito acucar e pouco cacau, enjoa rapido, nao recomendo."
20/03/2026,4,"Pra mim, gostei bastante do Protein, sabor agradavel, so um pouco caro pelo tamanho. So elogios."
20/03/2026,4,"Na minha opiniao, adoro o Nescau, cremoso e gostoso, faltou apenas achar mais facil no mercado. So elogios."
21/03/2026,5,"Pra mim, comprei o Nescau Protein e superou minhas expectativas, recomendo muito. Recomendo demais."
21/03/2026,3,"Ta bom, so acho que poderiam caprichar mais no sabor do cereal. Fica a dica."
21/03/2026,5,"Sinceramente, nao troco por nenhum outro, Nescau e energia pura no meu dia. Fica a dica."
21/03/2026,1,"Enganaram na embalagem, vem muito menos produto e o preco so sobe. Fica o alerta."
22/03/2026,3,"Nescau protein e ok, mas a proteina parece contar a do leite tambem. So um feedback."
22/03/2026,3,"Mediano, gostei do sabor mas nao achei nada demais no lancamento."
22/03/2026,3,"Verdade seja dita, nem otimo nem ruim, e um achocolatado padrao, sem surpresas. So um feedback."
22/03/2026,5,"Verdade seja dita, comprei o Nescau Protein e superou minhas expectativas, recomendo muito."
23/03/2026,2,"Confesso que protein caro e o gosto nao agrada, nao vale o investimento. Fica o alerta."
24/03/2026,5,"Pra mim, sabor de infancia que continua o mesmo, parabens Nescau!"
24/03/2026,3,"Na minha opiniao, comum, cumpre o basico, mas ja foi melhor no passado."
24/03/2026,3,"Verdade seja dita, razoavel, o Protein e interessante mas caro pelo que entrega. Fica a dica."
24/03/2026,5,"Sabor de infancia que continua o mesmo, parabens Nescau! So elogios."
24/03/2026,1,"Gente, propaganda enganosa, a proteina anunciada conta o leite, uma piada. Decepcionante."
24/03/2026,3,"Gente, nescau protein e ok, mas a proteina parece contar a do leite tambem."
25/03/2026,3,"Nem otimo nem ruim, e um achocolatado padrao, sem surpresas. No mais, e isso."
26/03/2026,5,"Pra mim, nescau Protein com 15g de proteina virou meu pos treino favorito. So elogios."
26/03/2026,3,"Confesso que gosto, mas o preco esta caro demais pra quantidade que vem. No mais, e isso."
27/03/2026,3,"Na minha opiniao, ta bom, so acho que poderiam caprichar mais no sabor do cereal. No mais, e isso."
27/03/2026,4,"Gente, o sabor continua otimo, so senti que mudou um pouco na nova formula. Fica a dica."
28/03/2026,1,"Na minha opiniao, propaganda enganosa, a proteina anunciada conta o leite, uma piada."
28/03/2026,4,"Confesso que nescau Protein bom para o pos treino, sabor agrada, textura poderia ser melhor."
28/03/2026,4,"Sinceramente, bom demais com leite gelado, so acho o preco um pouco salgado ultimamente. So elogios."
29/03/2026,5,"Gente, o cereal do Nescau e viciante, ponto certo de acucar e nada enjoativo. Fica a dica."
29/03/2026,2,"Na minha opiniao, muito acucar e pouco cacau, enjoa rapido, nao recomendo. Nao recomendo."
29/03/2026,4,"Gente, muito bom, uso todo dia, so reduziria um pouquinho o acucar."
29/03/2026,3,"Pra mim, sabor ok, nada de especial, esperava mais do novo Nescau Protein. Fica a dica."
30/03/2026,5,Nescau Protein com 15g de proteina virou meu pos treino favorito. Recomendo!
30/03/2026,4,"Confesso que gosto do cereal, crocante e saboroso, mas some rapido da prateleira. Recomendo demais."
30/03/2026,3,"Gente, sabor ok, nada de especial, esperava mais do novo Nescau Protein. No mais, e isso."
30/03/2026,5,"Na minha opiniao, cresci tomando Nescau e ate hoje e o meu preferido, sabor perfeito. So elogios."
30/03/2026,5,"Na minha opiniao, esse sabor e nostalgia pura, me lembra a minha infancia toda. Vale muito a pena."
31/03/2026,5,"Olha, nao troco por nenhum outro, Nescau e energia pura no meu dia. So elogios."
01/04/2026,1,"Na minha opiniao, prefiro qualquer concorrente, esse novo Nescau ficou intomavel. Nao compro mais."
02/04/2026,5,"Perfeito para bater com leite gelado, fica cremoso e delicioso. So elogios."
02/04/2026,5,"Gente, achocolatado nota 10, meus filhos amam e eu tambem. Vale muito a pena."
03/04/2026,2,"Muito acucar e pouco cacau, enjoa rapido, nao recomendo. Decepcionante."
03/04/2026,2,"Gente, nao encontrei o mesmo sabor de antes, ficou aguado e sem graca."
03/04/2026,2,"Pra mim, o cereal nao tem o gosto que anunciam, fiquei frustrado. Precisa melhorar."
04/04/2026,4,"Gosto muito do Nescau, so acho que poderia ser um pouco menos doce. Fica a dica."
04/04/2026,4,"Gente, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. So elogios."
05/04/2026,4,"Confesso que gosto do cereal, crocante e saboroso, mas some rapido da prateleira."
07/04/2026,4,"Gente, sabor muito bom, o Nescau Protein cumpre o que promete, so o preco que pesa. Fica a dica."
09/04/2026,1,"Na minha opiniao, terrivel, o cereal estava sem sabor e mole, dinheiro jogado fora. Nao recomendo."
09/04/2026,4,"Na minha opiniao, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. Vale muito a pena."
09/04/2026,2,"Olha, comprei o liquido e o gosto estava estranho, quase de ferro. Fica o alerta."
10/04/2026,3,"Gosto, mas o preco esta caro demais pra quantidade que vem. So um feedback."
10/04/2026,2,"Pra mim, comprei o liquido e o gosto estava estranho, quase de ferro. Nao compro mais."
11/04/2026,5,"Perfeito para bater com leite gelado, fica cremoso e delicioso. Recomendo demais."
11/04/2026,3,"Sinceramente, ok, porem achei bem docinho e um pouco artificial no fim. Da pra melhorar."
11/04/2026,5,"Pra mim, o cereal e maravilhoso, textura crocante e o gosto do Nescau de sempre."
12/04/2026,5,"Pra mim, nescau na medida certa de doce, diferente da concorrencia que enjoa. Recomendo demais."
12/04/2026,3,"Olha, gosto, mas o preco esta caro demais pra quantidade que vem. So um feedback."
12/04/2026,2,"Sinceramente, preco alto e quantidade pequena, nao compensa mais comprar."
13/04/2026,3,"Olha, mediano, gostei do sabor mas nao achei nada demais no lancamento. Fica a dica."
13/04/2026,5,"Confesso que comprei desconfiada e me apaixonei, o cereal e simplesmente perfeito."
13/04/2026,4,"Sinceramente, gosto do cereal, crocante e saboroso, mas some rapido da prateleira. So elogios."
14/04/2026,5,"Olha, melhor achocolatado que existe, Nescau nao tem igual! Fica a dica."
